name,lat,lon,country,score_growth_rate,score_saturation,score_competition,industry,overall_score
quotient adhd system,42.57,-71.43,united states,2.857142857,1.409205104,10,medical devices,4.75544932
medtech careers,55.88,12.5,denmark,,1.476096221,0.1125468945,medical devices,0.7943215576
haier biomedical international,36.09,120.37,china,5.833571429,7.677079716,2.530220925,medical devices,5.346957357
bausch + lomb canada,43.8,-79.48,canada,2.857142857,2.931045997,0.4918716132,medical devices,2.093353489
ejecutiva de ventas y mantención .,-33.4,-70.53,chile,2.857142857,4.027964811,0.2209253856,medical devices,2.368677684
dräger,53.86,10.7,germany,3.102142857,2.830650556,0.9170487703,medical devices,2.283280728
"medline industries, inc.",42.09,-87.78,united states,3.029285714,1.409205104,10,medical devices,4.812830273
stryker india,28.46,77.02,india,2.857142857,5.617063078,1.092121717,medical devices,3.188775884
colorectal health,41.38,2.15,spain,,3.317899351,0.6252605252,medical devices,1.971579938
teleflex incorporated,40.04,-75.38,united states,2.995,1.409205104,10,medical devices,4.801401701
medtronic diabetes,37.97,-87.55,united states,2.596428571,1.409205104,10,medical devices,4.668544559
coloplast,-34.95,117.35,australia,3.062857143,2.434228884,0.116715298,medical devices,1.871267108
henry schein,40.79,-73.41,united states,3.213571429,1.409205104,10,medical devices,4.874258844
global inventory management,43.19,-70.87,united states,2.857142857,1.409205104,10,medical devices,4.75544932
mindray vet,22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
bausch + lomb retina,38.62,-90.19,united states,2.142857143,1.409205104,10,medical devices,4.517354082
beckman coulter,33.91,-117.9,united states,2.982142857,1.409205104,10,medical devices,4.797115987
sanford vascular innovations,43.54,-96.7,united states,3.75,1.409205104,10,medical devices,5.053068368
bausch + lomb india,28.46,77.02,india,10,5.617063078,1.092121717,medical devices,5.569728265
bausch + lomb india,28.46,77.02,india,3.831428571,5.617063078,1.092121717,medical devices,3.513537789
ototronix,29.92,-95.51,united states,2.857142857,1.409205104,10,medical devices,4.75544932
henry schein - integrated design studio,43.01,-88,united states,2.857142857,1.409205104,10,medical devices,4.75544932
